file_name,corpus_origin,total_words,postural_contortion_raw_count,postural_contortion_density_10k,apparatus_pole_raw_count,apparatus_pole_density_10k,subaltern_tribal_raw_count,subaltern_tribal_density_10k,poison_necromancy_raw_count,poison_necromancy_density_10k,sorcery_magic_raw_count,sorcery_magic_density_10k,espionage_subversion_raw_count,espionage_subversion_density_10k,climbing_leaping_raw_count,climbing_leaping_density_10k,caravan_trade_transit_raw_count,caravan_trade_transit_density_10k
yrasprpu.htm,GRETIL,15965,6,3.76,20,12.53,1,0.63,125,78.3,14,8.77,1,0.63,0,0.0,5,3.13
b12c328.htm,GRETIL,130,2,153.85,0,0.0,0,0.0,0,0.0,0,0.0,3,230.77,0,0.0,0,0.0
ratksanu.htm,GRETIL,3115,0,0.0,0,0.0,0,0.0,14,44.94,6,19.26,2,6.42,0,0.0,0,0.0
b07c090.htm,GRETIL,113,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pm323__u.htm,GRETIL,5634,0,0.0,0,0.0,12,21.3,0,0.0,0,0.0,1,1.77,0,0.0,0,0.0
b11c016.htm,GRETIL,126,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,158.73,0,0.0,0,0.0
pm194__u.htm,GRETIL,46422,0,0.0,0,0.0,210,45.24,104,22.4,0,0.0,43,9.26,0,0.0,0,0.0
b01c002.htm,GRETIL,528,0,0.0,0,0.0,0,0.0,7,132.58,1,18.94,0,0.0,0,0.0,0,0.0
bhg4c04u.htm,GRETIL,12995,8,6.16,6,4.62,0,0.0,67,51.56,43,33.09,20,15.39,0,0.0,14,10.77
sa_ratnAkarazAnti-bhramaharanAma-hevajrasAdhana.htm,GRETIL,1995,14,70.18,0,0.0,0,0.0,9,45.11,7,35.09,4,20.05,0,0.0,1,5.01
sa_candrasUtra.htm,GRETIL,920,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
