Source_Repo,Text_Layer,Total_Chars,pithasarpin_crawler_Count,vaṃśanartin_pole_Count,stambha_axis_Count,sarpa_serpent_Count,candala_outcaste_Count,merudanda_spine_Count,vamsadanda_pneumatics_Count,bandha_valves_Count,candali_reversion_Count,Contextual_Entropy_H
raw_gretil,vamkalvu.htm,123631,0,0,0,2,0,0,0,0,0,3.727
raw_gretil,nysu__3u.htm,651636,0,0,9,4,1,0,1,0,0,7.574
raw_gretil,dhamsanu.htm,479943,0,0,8,0,0,0,0,0,0,5.126
raw_gretil,mbhx_37.htm,1257159,0,0,0,5,0,0,0,0,0,3.341
raw_gretil,yraspriu.htm,150261,0,0,9,2,0,0,1,1,0,6.138
raw_gretil,sadhdipu.htm,281014,0,0,2,1,0,0,0,0,0,6.415
raw_gretil,bsu036_u.htm,506541,0,0,4,0,2,0,0,0,0,6.745
raw_gretil,chup___u.htm,113953,0,0,0,5,2,0,1,0,0,7.03
raw_gretil,prakp09u.htm,16477,0,0,0,1,0,0,0,0,0,3.97
raw_gretil,vidsrgau.htm,415503,0,0,15,24,3,0,0,0,0,9.683
raw_gretil,bhp_04u.htm,204098,0,0,2,2,0,0,0,0,0,6.185
raw_gretil,sa_vAtsyAyana-kAmasUtra.htm,184479,0,0,4,4,1,0,0,0,0,7.61
raw_gretil,motik_pu.htm,1212236,0,0,34,30,2,0,0,0,0,7.289
raw_gretil,grasg_pu.htm,4819592,0,0,15,18,0,0,0,0,0,6.729
raw_gretil,samkhsuu.htm,47465,0,0,0,6,0,0,0,0,0,5.878
raw_gretil,sa_sitAtapatrA.htm,19435,0,0,3,2,0,0,0,2,0,4.782
raw_gretil,slokant_u.htm,76511,0,0,0,1,0,0,0,0,0,4.906
raw_gretil,udana_pu.htm,161742,0,0,1,0,0,0,0,0,0,4.21
raw_gretil,sb_06_u.htm,126530,0,0,0,2,0,0,0,0,0,4.88
raw_gretil,sa_rUpagosvAmin-laghubhAgavatAmRta.htm,118252,0,0,3,1,0,0,0,0,0,6.131
raw_gretil,mahanidu.htm,918077,0,0,16,0,7,0,0,1,0,7.105
raw_gretil,b06c097.htm,12965,0,0,0,1,0,0,0,0,0,4.038
raw_gretil,sastrdiu.htm,216527,0,0,3,5,0,0,0,0,0,6.443
raw_gretil,mbrahsiu.htm,268165,0,0,0,5,0,0,0,0,0,6.287
raw_gretil,kakumsau.htm,83369,0,0,3,0,0,0,1,0,0,6.184
raw_gretil,kmeghvpu.htm,24115,0,0,2,2,0,0,0,0,0,6.359
raw_gretil,sa_gautama-nyAyasUtra.htm,43763,0,0,0,1,0,0,0,0,0,3.577
raw_gretil,subhrk_u.htm,34882,0,0,1,0,0,0,0,0,0,4.392
raw_gretil,msitvatu.htm,6974,0,0,0,0,1,0,0,0,0,4.5
raw_gretil,sa_patna-dharmapada.htm,88676,0,0,0,1,0,0,2,0,0,5.999
raw_gretil,visa07cu.htm,263687,0,0,0,4,4,0,0,0,0,4.933
raw_gretil,sa_mahAsubhASitasaMgraha-1-9979.htm,1402117,0,0,27,56,11,1,0,2,0,10.099
raw_gretil,sa_lolimbarAja-vaidyajIvana.htm,33086,0,0,1,5,0,0,0,0,0,6.605
raw_gretil,bhivin_u.htm,386631,0,0,1,4,3,0,0,0,0,7.043
raw_gretil,rv_03_u.htm,87320,0,0,1,2,0,0,0,0,0,5.511
raw_gretil,tulkav_u.htm,101791,0,0,0,1,0,0,0,0,0,5.101
raw_gretil,vamvuppu.htm,43664,0,0,0,3,0,0,0,0,0,5.59
raw_gretil,kmeghdau.htm,24596,0,0,2,2,0,0,0,0,0,6.262
raw_gretil,bhp1-12u.htm,1838009,0,0,30,54,1,1,1,0,0,10.04
raw_gretil,sa_jaimini-mImAMsAsUtra-1-7-comm.htm,1209081,0,0,2,10,0,0,0,0,0,7.487
raw_gretil,b12c289.htm,15179,0,0,0,1,0,0,0,0,0,3.712
raw_gretil,bsa051_u.htm,405659,0,0,10,3,1,0,0,1,1,7.526
raw_gretil,b05c034.htm,18735,0,0,0,2,0,0,0,0,0,4.456
raw_gretil,gretilbk.htm,252813,0,0,0,3,0,0,0,0,0,5.403
raw_gretil,b08c017.htm,28026,0,0,0,2,0,0,0,0,0,4.472
raw_gretil,vinv11_u.htm,77399,0,0,0,1,0,0,0,0,0,4.761
raw_gretil,dhkariku.htm,60319,0,0,2,0,0,0,0,0,0,4.637
raw_gretil,ps27-43u.htm,406622,0,0,15,1,0,0,0,0,0,7.209
raw_gretil,sa_zAntideva-zikSAsamuccaya-alt.htm,488985,0,0,17,7,15,0,1,1,0,8.977
raw_gretil,sa_mandanamizra-brahmasiddhi.htm,269235,0,0,0,5,0,0,0,0,0,6.331
raw_gretil,b07c131.htm,30435,0,0,0,1,0,0,0,0,0,3.313
raw_gretil,sa_bhAgavatapurANa.htm,1893467,0,0,30,56,1,1,1,0,0,10.03
raw_gretil,tatsuvru.htm,28575,0,0,1,0,0,0,0,0,0,3.459
raw_gretil,yaatsi_u.htm,329734,0,0,1,3,0,0,0,0,0,5.553
raw_gretil,kavsttvu.htm,33811,0,0,0,1,0,0,0,0,0,3.97
raw_gretil,ujjvni_u.htm,230796,0,0,15,3,0,0,0,0,0,8.617
raw_gretil,brssgo1u.htm,725435,0,0,1,12,0,0,0,0,0,7.532
raw_gretil,hv_appiu.htm,1836345,0,0,16,30,1,0,0,0,0,5.654
raw_gretil,b14c031.htm,3220,0,0,1,0,0,0,0,0,0,3.526
raw_gretil,bhp_12u.htm,78446,0,0,1,7,0,0,0,0,0,6.855
raw_gretil,b04c031.htm,5535,0,0,0,1,0,0,0,0,0,3.874
raw_gretil,sokss_mu.htm,11156134,0,0,56,44,26,0,3,0,0,4.847
raw_gretil,tarb108u.htm,7062,0,0,1,0,0,0,0,0,0,4.682
raw_gretil,bharst_u.htm,65853,0,0,1,2,2,0,0,0,0,6.984
raw_gretil,b01c158.htm,13000,0,0,1,4,0,0,0,0,0,4.784
raw_gretil,sa_maJjuzrInAmasaMgIti-alt.htm,28918,0,0,0,0,0,0,0,0,1,3.468
raw_gretil,salrasmu.htm,105281,0,0,9,5,0,0,0,1,0,7.588
raw_gretil,bhall_iu.htm,22653,0,0,0,1,0,0,0,0,0,4.165
raw_gretil,sb_02_u.htm,122721,0,0,0,5,0,0,0,0,0,5.459
raw_gretil,b14c009.htm,12424,0,0,1,0,0,0,0,0,0,3.526
raw_gretil,sa_kSemendra-kalAvilAsa.htm,65786,0,0,6,2,2,0,0,0,0,7.007
raw_gretil,vagaah_u.htm,988701,0,0,130,158,2,0,0,10,0,11.226
raw_gretil,gaukarpu.htm,26066,0,0,0,1,0,0,0,0,0,4.418
raw_gretil,sa_AGgirasasmRti.htm,145633,0,0,2,0,10,0,0,0,0,7.426
raw_gretil,bhakavau.htm,59569,0,0,1,0,0,0,0,0,0,4.278
raw_gretil,b07c109.htm,7398,0,0,0,1,0,0,0,0,0,3.369
raw_gretil,sa_bhaiSajyavastu.htm,390395,0,0,5,8,1,0,0,0,0,7.883
raw_gretil,sa_vasugupta-spandakArikA-comm.htm,90016,0,0,1,3,0,0,0,0,0,6.009
raw_gretil,suttaniu.htm,199579,0,0,2,0,1,0,0,0,0,6.153
raw_gretil,divyav_u.htm,1336530,0,0,12,16,27,0,0,0,3,9.173
raw_gretil,narsekou.htm,21247,0,0,0,0,1,0,0,0,2,5.246
raw_gretil,sa_abhisamAcArikadharma.htm,258182,0,0,1,0,0,0,0,0,0,4.982
raw_gretil,devikapu.htm,10464,0,0,1,0,0,0,0,0,0,4.071
raw_gretil,ruphamdu.htm,27339,0,0,7,0,0,0,0,0,0,6.78
raw_gretil,sa_AryabhaTa-AryabhaTIya-comm.htm,441387,0,0,2,5,0,0,0,0,0,6.679
raw_gretil,b13c061.htm,21139,0,0,0,4,0,0,0,0,0,4.739
raw_gretil,b12c272.htm,9850,0,0,1,0,0,0,0,0,0,3.309
raw_gretil,keskaupu.htm,923758,0,0,11,64,0,0,0,8,0,7.362
raw_gretil,sghancsu.htm,24684,0,0,0,1,0,0,0,0,0,4.774
raw_gretil,sa_veGkaTanAtha-nyAyaparizuddhibhUmikA-13-5.htm,184737,0,0,0,4,0,0,0,0,0,6.212
raw_gretil,sa_subandhu-vAsavadattA.htm,68962,0,0,1,0,0,0,0,0,0,3.585
raw_gretil,mspram_u.htm,64795,0,0,3,1,4,0,0,0,0,7.342
raw_gretil,bbdip11u.htm,306882,0,0,2,1,0,0,0,0,0,5.858
raw_gretil,sa_amarasiMha-nAmaliGgAnuzAsana.htm,190689,0,0,4,8,4,1,0,1,0,8.176
